13,"When culture-specific terms (food, clothing, idioms, holidays etc.), practices, or references in the source are unfamiliar to  the target readers, have I adapted these in a way that a target reader can understand and appreciate (by using the original term, adding a brief explanation, or substituting with a culturally analogous reference/an equivalent concept etc.)?","13.When culture-specific terms (food, clothing, idioms, holidays etc.), practices, or references in the source are unfamiliar to  the target readers, have I adapted these in a way that a target reader can understand and appreciate (by using the original term, adding a brief explanation, or substituting with a culturally analogous reference/an equivalent concept etc.)?"
14,"Does the translation preserve the same meaning and implications of figurative language, such as metaphors or similes?  ","14.Does the translation preserve the same meaning and implications of figurative language, such as metaphors or similes?  "
15,"Am I considering the context and unspoken implications so that the translation reflects the source text’s pragmatic meaning (tone, irony, implicature), not just the dictionary definitions of individual words?","15.Am I considering the context and unspoken implications so that the translation reflects the source text’s pragmatic meaning (tone, irony, implicature), not just the dictionary definitions of individual words?"
16,"If the source text uses a reference that may not be well known in the target culture, have I replaced it with a more familiar example? (e.g., ""Harvard"" → ""Tsinghua"" when translating into Chinese to convey “prestigious university” or changing “Super Bowl” to “a major sports event” in cultures unfamiliar with American football)","16.If the source text uses a reference that may not be well known in the target culture, have I replaced it with a more familiar example? (e.g., ""Harvard"" → ""Tsinghua"" when translating into Chinese to convey “prestigious university” or changing “Super Bowl” to “a major sports event” in cultures unfamiliar with American football)"
17,"For references to historical or social events, have I considered whether they carry the same significance in the target culture? (e.g., mentioning “July 4th” in the US might need explanation in another culture)","17.For references to historical or social events, have I considered whether they carry the same significance in the target culture? (e.g., mentioning “July 4th” in the US might need explanation in another culture)"
18,"Am I handling the cultural differences in how certain emotions, gestures, or expressions are described in an clear and understandable way?  ","18.Am I handling the cultural differences in how certain emotions, gestures, or expressions are described in an clear and understandable way?  "
19,"Have I used the widely accepted translation in the target culture if certain quoted materials or references (like the title of a book, a poem, a song, or a famous saying) already have one?","19.Have I used the widely accepted translation in the target culture if certain quoted materials or references (like the title of a book, a poem, a song, or a famous saying) already have one?"
20,Am I avoiding excessive domestication that erases the source culture’s identity?,20.Am I avoiding excessive domestication that erases the source culture’s identity?
21,Am I balancing foreignizing strategies with the need for clarity so that I don’t drift into exoticizing the source culture for the target reader?,21.Am I balancing foreignizing strategies with the need for clarity so that I don’t drift into exoticizing the source culture for the target reader?
22,"Have I considered the source culture’s context (historical period, locale, customs) well enough to translate cultural references accurately, knowing that each language group has its own culturally specific features?","22.Have I considered the source culture’s context (historical period, locale, customs) well enough to translate cultural references accurately, knowing that each language group has its own culturally specific features?"
23,Am I avoiding imposing my own culture’s perspective or biases on the text?,23.Am I avoiding imposing my own culture’s perspective or biases on the text?
24,Does the translation evoke the same cultural mood as the original?,24.Does the translation evoke the same cultural mood as the original?
25,"Have I handled slang or dialect correctly? E.g., by finding target-language equivalents that carry a similar flavor and social meaning, or a neutral rendition to avoid confusion.","25.Have I handled slang or dialect correctly? E.g., by finding target-language equivalents that carry a similar flavor and social meaning, or a neutral rendition to avoid confusion."
,,
1,Does my translation maintain the same tone and level of formality for each character or narrative voice as the original?,1.Does my translation maintain the same tone and level of formality for each character or narrative voice as the original?
2,Does the use of honorifics or pronouns match the intended tone of the source text?,2.Does the use of honorifics or pronouns match the intended tone of the source text?
3,"Is the tone (formal, informal, neutral, colloquial, etc.) consistent in my translation?","3.Is the tone (formal, informal, neutral, colloquial, etc.) consistent in my translation?"
4,Does the narrative voice in my translation match the original novel’s narrative voice?,4.Does the narrative voice in my translation match the original novel’s narrative voice?
5,"Am I preserving the author’s unique voice or style in the source text (e.g., terse and minimalist, or elaborate and lyrical) in my translation?","5.Am I preserving the author’s unique voice or style in the source text (e.g., terse and minimalist, or elaborate and lyrical) in my translation?"
6,Have I preserved the narrative point of view and any shifts in perspective exactly as in the original?,6.Have I preserved the narrative point of view and any shifts in perspective exactly as in the original?
7,"Is my translation strategy (literal, free, adaptive, etc.) aligned with the literary style of the source text and the expectations of its genre?","7.Is my translation strategy (literal, free, adaptive, etc.) aligned with the literary style of the source text and the expectations of its genre?"
8,Does the translation convey the author’s descriptive imagery vividly and accurately?,8.Does the translation convey the author’s descriptive imagery vividly and accurately?
9,Have I used appropriate discourse markers or transitions to maintain the logical flow of ideas?,9.Have I used appropriate discourse markers or transitions to maintain the logical flow of ideas?
10,"Have I maintained consistency in terminology, character names, slang, dialect and other key details throughout the text to avoid confusing the reader?","10.Have I maintained consistency in terminology, character names, slang, dialect and other key details throughout the text to avoid confusing the reader?"
11,Have I kept track of plot details to ensure nothing got lost or altered in translation that would cause inconsistencies?,11.Have I kept track of plot details to ensure nothing got lost or altered in translation that would cause inconsistencies?
12,"Does the translation convey the same meaning and intent as the source text, even if the sentence structure is different?","12.Does the translation convey the same meaning and intent as the source text, even if the sentence structure is different?"
13,Do I balance well between communicative translation (focusing on the target reader’s understanding and response) and semantic translation (focusing on the exact contextual meaning of the original)?,13.Do I balance well between communicative translation (focusing on the target reader’s understanding and response) and semantic translation (focusing on the exact contextual meaning of the original)?
14,"Have I maintained the same level of ambiguity or precision as the source text?","14.Have I maintained the same level of ambiguity or precision as the source text?"
15,Does the translation elicit a similar emotional response in the target reader as the original does in its readers?,15.Does the translation elicit a similar emotional response in the target reader as the original does in its readers?
16,Would a reader of the translation sense the same narrator persona or character as in the original?,16.Would a reader of the translation sense the same narrator persona or character as in the original?
17,Am I conveying the author’s intent behind each passage – the subtext or purpose of why they wrote it – through my translation choices?,17.Am I conveying the author’s intent behind each passage – the subtext or purpose of why they wrote it – through my translation choices?
18,Will my target audience respond to this translation the same way the source audience responded to the original?,18.Will my target audience respond to this translation the same way the source audience responded to the original?
19,"Is the translation phrased in the most natural way for the target language, achieving the “closest natural equivalent” of the source message?","19.Is the translation phrased in the most natural way for the target language, achieving the “closest natural equivalent” of the source message?"
20,"Have I considered equivalence at multiple levels, at the word level, sentence level, textual level (cohesion), and pragmatic level (overall effect) – to ensure the translation works as a coherent whole?","20.Have I considered equivalence at multiple levels, at the word level, sentence level, textual level (cohesion), and pragmatic level (overall effect) – to ensure the translation works as a coherent whole?"
