source,document,if_literary,target,score,model,pair,len_source
"Kayel clearly didn't agree with Nyssi, he looked less black than normal and his claws had dug into Thassalin's back to the point that he'd made the Thraki bleed, but Thassalin clearly didn't seem to care. That being said, Thassalin had realized he had scared his new friends and found a clearing to land in.
","literary	test-en-literary_fight_above_the_trees_chunk_1_words_996
",True,"Kayel s Nyssou zjevně nesouhlasil, vypadal méně černě než obvykle a jeho drápy se zabořily do Thassalinova zad tak, že Thrakka krvácel, ale Thassalin to zjevně vůbec nezajímalo. To se řekne, Thassalin si uvědomil, že vystrašil své nové přátele a našel si místo k přistání.
",0.9,Aya23,en-cs,55
"""I APOLOGIZE BUT I PICKED UP A SCENT. I HAD TO DEAL WITH IT!""
","literary	test-en-literary_fight_above_the_trees_chunk_1_words_996
",True,"""OMLOUVAM SE, ALE ZACHLÍCEL JSEM VŮNI. MUSEL JSEM S TÍM NĚCO DĚLAT!""
",0.85,Aya23,en-cs,14
"""Did you have to drag us along as well?"" Tenuk snapped as he climbed off Thassalin's back, sliding down his tail. ""And we left Retvik behind! We abandoned our big, strong, fighty guy! How is he going to get to us?""
","literary	test-en-literary_fight_above_the_trees_chunk_1_words_996
",True,"„Museli jste nás taky tahat?“ vyjel Tenuk, když slezl z Thassalinova hřbetu a sklouzl po jeho ocasu. „A nechali jsme za sebou Retvika! Opustili jsme našeho velkého, silného, rváče! Jak se k nám dostane?“
",0.95,Aya23,en-cs,41
"""He'll work it out..."" Nyssi tutted. ""Retvik's slow but he's not stupid.""
","literary	test-en-literary_fight_above_the_trees_chunk_1_words_996
",True,"""""On si to vypočítá..."" zamňoukla Nyssi. ""Retvik je pomalý, ale není hloupý.""
",0.85,Aya23,en-cs,12
"Nyssi blinked and turned back to Tenuk. ""Of course he can drive.""
","literary	test-en-literary_fight_above_the_trees_chunk_1_words_996
",True,"Nyssi zamrkala a otočila se zpět k Tenukovi. „Samozřejmě může řídit.“
",0.93,Aya23,en-cs,12
"No, clearly not. The creature just hissed and tried to fly directly into Thassalin. Thankfully, despite his size, Thassalin was nimble enough to get out of the way, but Nyssi couldn't help but scream as she very nearly lost her grip on Thassalin's overly smooth scales.
","literary	test-en-literary_fight_above_the_trees_chunk_2_words_991
",True,"Ne, zjevně ne. Stvoření jen syčelo a snažilo se letět přímo do Thassalinu. Naštěstí, navzdory své velikosti, byl Thassalin dost hbitý, aby uhnul, ale Nyssi nemohla než křičet, protože téměř ztratila úchop na Thassalinových příliš hladkých šupinách.
",0.945,Aya23,en-cs,46
"Thassalin hissed, then circled round, closer to the mountain he called home. The dark beast followed, but somewhat panicked as a blast of fire hit it from behind. The creature hadn't realised it was no longer alone. It panicked further as Thassalin slowed down then thwacked his tail into the side of the beast's head, knocking it off course.
","literary	test-en-literary_fight_above_the_trees_chunk_2_words_991
",True,"Thassalin syčel, pak se obrátil, blíž k hoře, kterou nazýval domovem. Temné stvoření ho následovalo, ale trochu zpanikařilo, když ho zadu zasáhl výbuch ohně. Stvoření si neuvědomilo, že už není samo. Když Thassalin zpomalil, uhodil ocasem do boku hlavy stvoření, což ho vyvedlo z kurzu.
",0.975,Aya23,en-cs,59
"Snarling and hissing, the creature flew upwards, spitting into the air. Everything suddenly went dark, as if the monster was sucking the light from the sky itself, replacing it with a cloud of perpetual night.
","literary	test-en-literary_fight_above_the_trees_chunk_2_words_991
",True,"Skřípěním a syčením stvoření letělo vzhůru, plivalo do vzduchu. Všechno se náhle ponořilo do tmy, jako by monstrum vysávalo světlo z oblohy samotné a nahrazovalo ho mračnem věčné noci.
",0.955,Aya23,en-cs,35
"No longer able to see, Thassalin tried to retreat, but found himself scraping against the top of the treeline, before crashing into a clearing. The creature seemed to know exactly where Thassalin had fallen and headed straight for him, taking the dark cloud with it.
","literary	test-en-literary_fight_above_the_trees_chunk_2_words_991
",True,"Neschopný vidět, Thassalin se pokusil ustoupit, ale narazil se o vrchol stromové linie, než narazil do výsypek. Stvoření se zdálo přesně vědět, kde Thassalin spadl a zamířil přímo k němu, vzal si tmavou oblačnost s sebou.
",0.785,Aya23,en-cs,45
"""Kayel!"" Tenuk exclaimed as he glided out of the cloud and began circling, trying to spot Nyssi and Thassalin in the darkness below. ""What do we do? Kayel..? Kayel, where are you?""
","literary	test-en-literary_fight_above_the_trees_chunk_2_words_991
",True,"„Kayel!“ vykřikl Tenuk, když se vynořil z mraku a začal kroužit, aby se pokusil najít Nyssi a Thassalin v temnotě pod sebou. „Co máme dělat? Kayel..? Kayeli, kde jsi?“
",0.965,Aya23,en-cs,32
"Below, Nyssi scrambled to her feet. She was pretty sure she had broken something, but her weird, unnatural healing powers had already kicked in. The same couldn't have been said for Thassalin, who was lying in a lump, resting against the one tree that hadn't collapsed under his weight. Nyssi did her best to try and reach Thassalin but she could barely see more than a couple of meters in front of her. Everything was pitch black and engulfed in unholy shadows. And in said shadows, something was screaming and screeching.
","literary	test-en-literary_fight_above_the_trees_chunk_2_words_991
",True,"Nyssi se pod ní zvedla na nohy. Byla si docela jistá, že si něco zlomila, ale její zvláštní, nepřirozené léčivé schopnosti už začaly působit. To samé se nedalo říct o Thassalinovi, který ležel v koule, opřený o jediný strom, který nezhynul pod jeho vahou. Nyssi se snažila dostat k Thassalinovi, ale viděla sotva pár metrů před sebe. Všechno bylo ponořené do naprosté tmy a zahalené do neblahých stínů. A v těchto stínech něco křičelo a pištělo.
",0.915,Aya23,en-cs,91
"A horrible, clubbed tail smashed into the ground near Nyssi, knocking her over. She noticed though that the tail was flailing, not aiming at her. The creature, what little Nyssi could see and hear of it, was snarling and clawing at the shadows it had created. Something was teleporting through the darkness, stabbing at the monster, confusing it.
","literary	test-en-literary_fight_above_the_trees_chunk_2_words_991
",True,"Hrůzostrašný, klínovitý ocas se rozbil o zem poblíž Nyssi, což ji porazilo. Všimla si však, že ocas se necíleně zmítal. Stvoření, to málo, co Nyssi viděla a slyšela, syčelo a drápalo se po stínech, které samo vytvořilo. Něco se teleportovalo temnotou, bodalo do monstra a mateřilo ho.
",0.865,Aya23,en-cs,58
"“Please!” Queen Eirwen begged, “don’t send her away! She’s just a child!” The Ice King looked down at his wife from his throne, his royal advisor next to him. She had given birth to a girl. He scowled at the thought.
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"„Prosím!“ prosila královna Eirwen, „neposílejte ji pryč! Je to jen dítě!“ Král ledových zemí se shlédl na svou manželku od svého trůnu, jeho královský poradce stál vedle něj. Měli dceru. Na myšlenku se zamračil.
",0.7,Aya23,en-cs,41
"The girl in question looked a lot like her mother; pale blue eyes and white hair decorated with blue strands. The Ice King thought a daughter made him look weak. After all, he had only had sons up until this point.
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"Dotčená dívka vypadala dost jako její matka; bledě modré oči a bílé vlasy ozdobené modrými prameny. Ledový král si myslel, že dcera ho dělá slabým. Vždyť do té doby měl jen syny.
",0.85,Aya23,en-cs,41
"“The only options you have are to kill the child or send it out to the wilderness. This is her punishment for your wrongdoing, Eirwen .” He spat out her name as if it was poison. He always did.
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"„Jediné možnosti, které máte, jsou zabít dítě nebo ho poslat do divočiny. Tohle je její trest za vaše špatné jednání, Eirwen.“ Vyplivl její jméno, jako by to bylo jed. Vždycky to dělal.
",0.95,Aya23,en-cs,39
"Frostfell was not always one kingdom. It was split in two, the North and the South. In the North, the non magical kingdom. To the South, a kingdom full of fantastical displays of power. Due to the North’s greed, the two kingdoms clashed in a never ending war, until the South offered a truce.
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"Frostfell nebyl vždy jedním královstvím. Byl rozdělen na dvě části, na sever a na jih. Na severu bylo nemagické království. Na jihu království plné fantastických projevů moci. Kvůli chamtivosti severu se obě království srazila v nekonečné válce, dokud jih nenabídl příměří.
",0.87,Aya23,en-cs,54
"The South was desperate, and their royal family would do anything to stop the bloodshed. They offered their only princess to be queen of the North and bear a son to be the future king. Then, the South would join with the North to make one kingdom. The North accepted, and Princess Eirwen married Prince Akull.
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"Jižní země byly zoufalé a jejich královská rodina by udělala cokoliv, aby zastavila krveprolití. Nabídli svou jedinou princeznu, aby se stala královnou Severu a porodila syna, který by se stal budoucím králem. Pak by se Jižní země připojily k Severu a vytvořily jedno království. Sever přijal a princezna Eirwen si vzala prince Akulla.
",0.9,Aya23,en-cs,56
"“I beg you, my king, in return for the safety of my child, do whatever you want to me, lock me up, banish me, or even kill me.” Queen Eirwen pleaded, holding her child tightly in her arms.
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"„Prosím vás, králi, za bezpečnost mého dítěte, dělejte si se mnou, co chcete, zavírejte mě, vyžeňte, nebo dokonce zabíjejte.“ Královna Eirwen prosila, pevně svírala své dítě v náručí.
",1.0,Aya23,en-cs,38
"The Ice King looked down at his queen, disgust from his eyes. Maybe, just maybe, he would have mercy on her. The woman who he had been with for twenty-two years, the one who always cared for him at his lowest times, the one who had given birth to his sons.
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"Král ledu se shlédl na svou královnu, z jeho očí byl znechucen. Možná, jen možná, by k ní mohl být milosrdný. K té ženě, se kterou byl dvacet dva let, k té, která se o něj vždy starala v těch nejtěžších chvílích, k té, která porodila jeho syny.
",0.95,Aya23,en-cs,51
"“Very well. The child may live in the palace.” He started, earning a sigh from the queen. “But,” he added. “You will be executed.”
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"„Velmi dobře. Dítě může žít v paláci.“ Začal a získal od královny povzdech. „Ale,“ dodal. „Budete popraveni.“
",0.9,Aya23,en-cs,24
"A shared look of horror came from the advisor and Queen Eirwen herself. She slowly looked down at the floor. “Yes, my king.” She bowed.
","literary	test-en-literary_forever_snow_chunk_1_words_993
",True,"Společný pohled hrůzy přišel od poradce a královny Eirwen samotné. Pomalu se podívala na podlahu. „Ano, můj králi.“ Poklonila se.
",1.0,Aya23,en-cs,25
"She flipped to a blank page and wrote the date on it. Under it, she wrote, “5/11/648 -12/13/648.”
","literary	test-en-literary_forever_snow_chunk_2_words_986
",True,"Přepnula na prázdnou stránku a napsala na ni datum. Pod něj napsala: „5/11/648 -12/13/648.“
",0.7,Aya23,en-cs,18
"“Reviewing old memories?” Ivory inquired, looking at the old notebook. Kari nodded. “Do you think that they will let you out for Christmas? It’s only a few days away.”
","literary	test-en-literary_forever_snow_chunk_2_words_986
",True,"„Připomínáte si staré vzpomínky?“ zeptal se slonoviny, když se podíval na starý zápisník. Kari přikývl. „Myslíte, že vás pustí na Vánoce? Je to jen pár dní. “
",0.11,Aya23,en-cs,29
"Kari tapped twice on the lantern. No, as Ivory predicted. The Ice King never let Kari out, as she was seen as “a flaw” in his eyes. She was born mute and was the only girl in her family, as it was all made up of boys.
","literary	test-en-literary_forever_snow_chunk_2_words_986
",True,"Kari dvakrát poklepala na lucernu. Ne, jak Ivory předpověděl. Král ledu nikdy nepustil Kari ven, protože ji považoval za „chybu“. Narodila se němá a byla jedinou dívkou ve své rodině, protože ta se skládala výhradně z chlapců.
",0.79,Aya23,en-cs,47
"Ivory was too, in their own special way. When Ivory came out as nonbinary, it seemed like the world changed too. They were given the jobs that would make them spend time alone for most of the time, as a punishment for being different.
","literary	test-en-literary_forever_snow_chunk_2_words_986
",True,"Ivánek byl také, svým vlastním speciálním způsobem. Když Ivánek vyšel jako nebinární, zdálo se, že se svět změnil. Dostali práci, která by je nutila trávit většinu času o samotě, jako trest za to, že jsou jiní.
",0.7,Aya23,en-cs,44
"They were also forced to work as the princess’ servant. They didn’t mind it much thought, as they got a friend too.
","literary	test-en-literary_forever_snow_chunk_2_words_986
",True,"Byli také nuceni pracovat jako služebnice princezny. Nevadilo jim to však příliš, protože si také získali přítelkyni.
",0.75,Aya23,en-cs,22
"“It’s your birthday soon, isn’t it?” Ivory asked, remembering that the princess’ birthday was in a few days. Kari nodded, a sad glint in her light blue eyes.
","literary	test-en-literary_forever_snow_chunk_2_words_986
",True,"„Brzy budete mít narozeniny, že?“ zeptala se slonoviny, vzpomínajíc si, že princezniny narozeniny budou za pár dní. Kari přikývla, v jejích světle modrých očích se mihl smutný jiskřička.
",0.68,Aya23,en-cs,28
"“Do you want to celebrate?” They asked, reflecting on the last time she answered it.
","literary	test-en-literary_forever_snow_chunk_2_words_986
",True,"„Chcete slavit?“ zeptali se, když se zamysleli nad tím, jak naposledy odpověděla.
",0.76,Aya23,en-cs,15
"No. Kari tapped out. Ivory knew that it was a hard subject for her. It was the day that she was confined to her room and her mother was banished. Ivory was only a baby when it happened, but they remembered the outrage the servants and townspeople were in. They heard Queen Eirwen was a nice queen, but also weirdly predicted things that would happen.
","literary	test-en-literary_forever_snow_chunk_2_words_986
",True,"Ne. Kari se vzdala. Slonová věděla, že to je pro ni těžké téma. Byl to den, kdy byla uzavřena ve svém pokoji a její matka byla vyhnána. Slonová byla teprve dítě, když se to stalo, ale pamatovali si pobouření služebníků a obyvatel města. Slyšeli, že královna Eirwen byla milá královna, ale také podivně předpovídala věci, které se stanou.
",0.76,Aya23,en-cs,65
"“So… whatcha wanna do?” They asked. Kari looked up at them, teeming with excitement. She handed Ivory a paper. When they looked down at it however…
","literary	test-en-literary_forever_snow_chunk_2_words_986
",True,"„Tak… co chceš dělat?“ zeptali se. Kari se na ně podívala, plná vzrušení. Podala Ivory papír. Když se na něj však podívali…
",1.0,Aya23,en-cs,26
"0430 Itania time. Cohren hated waking up this early. Mainly because it was his responsibility to wake everyone else up in his company. Silently stepping out of his bunk, he put on his combat fatigues, throwing on his assault vest, and packed up his belongings from his locker, being careful with a particular small box. He shoulded his rifle and put his helmet on a small hook connected to his belt. It had all its fixing, respirator, goggles, everything needed. After checking his ammo pouches, he quietly walked out of the barracks, mud and ice squelching under his boots.
","literary	test-en-literary_the_other_side_stormfall_chunk_1_words_992
",True,"0430 Itania čas. Cohren nenáviděl vstávat tak brzy. Hlavně proto, že bylo jeho zodpovědností vzbudit všechny ostatní ve své společnosti. Ticho krok z jeho lůžka, oblékl si bojové uniformy, hodil na sebe útočnou vestu a zabalil si své věci z jeho skříňky, dával si pozor na malou krabičku. Naložil svou pušku a nasadil si přilbu na malý háček připojený k jeho pásu. Měl všechny potřebné věci. Po kontrole nábojových kapes vyšel potichu z kasáren, bláto a led praskaly pod jeho botami.
",0.5,Aya23,en-cs,99
"He took a lighter from his jacket pocket and a cig from the other. Lighting it, he took a small drag before opening the door slightly. Over the last week he had to get creative when waking the men and women under his command. He stopped using the preset wake up alarm, half the time it never worked, when all that came from the speakers was a light hiss.
","literary	test-en-literary_the_other_side_stormfall_chunk_1_words_992
",True,"Vytáhl z kapsy kabátu zapalovač a cigaretu z druhé. Když ji zapálil, udělal malý nádech, než trochu otevřel dveře. Během posledního týdne musel být kreativní, když budil muže a ženy pod svým velením. Přestal používat přednastavené budicí alarmy, polovinu času stejně nefungovaly, z reproduktorů z nich byl jen lehký šum.
",0.65,Aya23,en-cs,69
"“Waking them up” Cohren turned to see 2nd Lieutenant Nemic walking up.
","literary	test-en-literary_the_other_side_stormfall_chunk_1_words_992
",True,"„Probuzení jich“ Cohren se otočil a viděl, jak k němu přichází nadporučík Nemic.
",0.55,Aya23,en-cs,12
"Before he could answer, the door opened and Harris, Craith, and a few others hurried out, already fully dressed and kitted out.
","literary	test-en-literary_the_other_side_stormfall_chunk_1_words_992
",True,"Než stačil odpovědět, otevřely se dveře a Harris, Craith a pár dalších vyběhli ven, už oblečení a připravení.
",0.95,Aya23,en-cs,22
"“Yes sir. There should be on their way now, we gave them time to grab rations from the mess” 	At 0500 sharp, Exodus company assembled at the motor pool. Shaw stepped onto a box and began to speak.
","literary	test-en-literary_the_other_side_stormfall_chunk_2_words_956
",True,"„Ano, pane. Měli by být na cestě, dali jsme jim čas, aby si vzali zásoby z kuchyně.“ V 05:00 přesně se rota Exodus shromáždila u motorového fondu. Shaw vystoupil na bednu a začal mluvit.
",0.95,Aya23,en-cs,38
"“Where are moving out to FOB I-131, fifty miles outside of Ianlos. We are to support the ongoing siege and later attack of Ianlos to flush out the insurgency there. From there we will have a foothold and the base of the mountains” Shaw explained. “Get with your squads and mount up”
","literary	test-en-literary_the_other_side_stormfall_chunk_2_words_956
",True,"„Kam se stěhujeme na FOB I-131, padesát mil mimo Ianlos. Máme podporovat probíhající obléhání a pozdější útok na Ianlos, abychom vytlačili povstalectví tam. Odtud budeme mít opěrný bod a základnu hor“ vysvětlil Shaw. „Vytvořte se svými družstvy a nastupte“
",0.6,Aya23,en-cs,52
"The company dispersed, joining together in their squads and their sergeants had them mount up on one of the tanks. Cohren pulled himself onto one of the tanks farther up on the convoy, joining Nemic, Craith, and two new recruits. Cohren remembered them arriving a few days ago, but didn’t know much about them. Sitting on the side, dangling his legs on the side, he adjusted his pack and radio set, which connected to his earpiece and throat mic.
","literary	test-en-literary_the_other_side_stormfall_chunk_2_words_956
",True,"Společnost se rozptýlila, spojila se ve svých čety a jejich seržanti je nasedli na jednu z tanků. Cohren se vytáhl na jeden z tanků dál v konvoji, připojil se k Nemic, Craith a dvěma novým náborům. Cohren si vzpomněl, že přišli před několika dny, ale nevěděl o nich moc. Sedí na boku, visí s nohama na boku, upravil si svůj batoh a rádiovou soupravu, která se připojuje k jeho náušnici a krku.
",0.5,Aya23,en-cs,79
"“Hey Cohren, does Harris still have Snowball?” Nemic asks as they got settled in.
","literary	test-en-literary_the_other_side_stormfall_chunk_2_words_956
",True,"„Hej Cohren, má Harris pořád Snowballa?“ zeptal se Nemic, když se usadili.
",0.7,Aya23,en-cs,14
"“You mean his chicken he stole?” Cohren remembered the morning they had stolen him from a farm. “Yeah, i'm pretty sure”
","literary	test-en-literary_the_other_side_stormfall_chunk_2_words_956
",True,"„Myslím, že to kuře, které ukradl?“ vzpomněla si Cohren na ráno, když ho ukradli z farmy. „Jo, to si myslím taky.“
",0.6,Aya23,en-cs,21
